object_count,toy_sample,original_sample,original_selector,toy_directory
1,sample_0,sample_000000,1_obj/sample_000000,elastic/1_obj/sample_0
1,sample_1,sample_000001,1_obj/sample_000001,elastic/1_obj/sample_1
1,sample_2,sample_000002,1_obj/sample_000002,elastic/1_obj/sample_2
1,sample_3,sample_000003,1_obj/sample_000003,elastic/1_obj/sample_3
1,sample_4,sample_000004,1_obj/sample_000004,elastic/1_obj/sample_4
1,sample_5,sample_000005,1_obj/sample_000005,elastic/1_obj/sample_5
1,sample_6,sample_000006,1_obj/sample_000006,elastic/1_obj/sample_6
1,sample_7,sample_000007,1_obj/sample_000007,elastic/1_obj/sample_7
1,sample_8,sample_000008,1_obj/sample_000008,elastic/1_obj/sample_8
1,sample_9,sample_000009,1_obj/sample_000009,elastic/1_obj/sample_9
2,sample_0,sample_000000,2_obj/sample_000000,elastic/2_obj/sample_0
2,sample_1,sample_000001,2_obj/sample_000001,elastic/2_obj/sample_1
2,sample_2,sample_000002,2_obj/sample_000002,elastic/2_obj/sample_2
2,sample_3,sample_000003,2_obj/sample_000003,elastic/2_obj/sample_3
2,sample_4,sample_000004,2_obj/sample_000004,elastic/2_obj/sample_4
2,sample_5,sample_000005,2_obj/sample_000005,elastic/2_obj/sample_5
2,sample_6,sample_000006,2_obj/sample_000006,elastic/2_obj/sample_6
2,sample_7,sample_000007,2_obj/sample_000007,elastic/2_obj/sample_7
2,sample_8,sample_000008,2_obj/sample_000008,elastic/2_obj/sample_8
2,sample_9,sample_000009,2_obj/sample_000009,elastic/2_obj/sample_9
3,sample_0,sample_000000,3_obj/sample_000000,elastic/3_obj/sample_0
3,sample_1,sample_000001,3_obj/sample_000001,elastic/3_obj/sample_1
3,sample_2,sample_000002,3_obj/sample_000002,elastic/3_obj/sample_2
3,sample_3,sample_000003,3_obj/sample_000003,elastic/3_obj/sample_3
3,sample_4,sample_000004,3_obj/sample_000004,elastic/3_obj/sample_4
3,sample_5,sample_000005,3_obj/sample_000005,elastic/3_obj/sample_5
3,sample_6,sample_000007,3_obj/sample_000007,elastic/3_obj/sample_6
3,sample_7,sample_000008,3_obj/sample_000008,elastic/3_obj/sample_7
3,sample_8,sample_000009,3_obj/sample_000009,elastic/3_obj/sample_8
3,sample_9,sample_000010,3_obj/sample_000010,elastic/3_obj/sample_9
4,sample_0,sample_000000,4_obj/sample_000000,elastic/4_obj/sample_0
4,sample_1,sample_000001,4_obj/sample_000001,elastic/4_obj/sample_1
4,sample_2,sample_000002,4_obj/sample_000002,elastic/4_obj/sample_2
4,sample_3,sample_000003,4_obj/sample_000003,elastic/4_obj/sample_3
4,sample_4,sample_000004,4_obj/sample_000004,elastic/4_obj/sample_4
4,sample_5,sample_000005,4_obj/sample_000005,elastic/4_obj/sample_5
4,sample_6,sample_000007,4_obj/sample_000007,elastic/4_obj/sample_6
4,sample_7,sample_000008,4_obj/sample_000008,elastic/4_obj/sample_7
4,sample_8,sample_000009,4_obj/sample_000009,elastic/4_obj/sample_8
4,sample_9,sample_000010,4_obj/sample_000010,elastic/4_obj/sample_9
5,sample_0,sample_000000,5_obj/sample_000000,elastic/5_obj/sample_0
5,sample_1,sample_000001,5_obj/sample_000001,elastic/5_obj/sample_1
5,sample_2,sample_000002,5_obj/sample_000002,elastic/5_obj/sample_2
5,sample_3,sample_000003,5_obj/sample_000003,elastic/5_obj/sample_3
5,sample_4,sample_000004,5_obj/sample_000004,elastic/5_obj/sample_4
5,sample_5,sample_000005,5_obj/sample_000005,elastic/5_obj/sample_5
5,sample_6,sample_000007,5_obj/sample_000007,elastic/5_obj/sample_6
5,sample_7,sample_000008,5_obj/sample_000008,elastic/5_obj/sample_7
5,sample_8,sample_000009,5_obj/sample_000009,elastic/5_obj/sample_8
5,sample_9,sample_000010,5_obj/sample_000010,elastic/5_obj/sample_9
